split,feature,missing_after_numeric_conversion,unique_values,mean,std,minimum,maximum
train,fav_number_log,0,3730,0.04777706589116927,0.9612999627351234,-1.6464010840174936,2.097948656893761
train,tweet_count_log,0,6693,-0.03179680330444567,0.9858806196005256,-3.9324980217589913,2.7769956051355167
train,tweets_per_day_log,0,7777,-0.09009915041373662,0.9664319930135586,-1.6585823702537346,3.249389441233056
train,favs_per_day_log,0,6697,-0.012765919774782357,0.967439612804301,-0.825434762173427,4.730972646391946
train,account_age_days,0,2527,0.08407320693448911,0.9999167428969346,-1.4808466488082188,2.6271779410214444
train,text_len,0,130,0.03713109126017294,0.9930626536884027,-2.493714269436303,1.3652164732874108
train,desc_len,0,162,0.046305535925835466,0.9941051807460121,-1.2432601456107086,1.7173346784724428
train,text_n_urls,0,4,0.03532212799882795,1.0132366422210637,-0.6983092306309395,4.440174372564073
train,text_n_mentions,0,9,-0.009172220781165268,0.9805135488089227,-0.5803870290255431,11.050993081955813
train,text_n_hashtags,0,13,0.017318664211264663,1.0280367563816002,-0.3790860752324159,12.978345532458624
train,name_n_digits,0,12,-0.07076961062040314,0.9061068924428517,-0.5033526126106925,8.112569363992296
train,link_r,0,244,0.01739345874695261,1.0058873476917976,-0.6781304768140782,2.228949164795571
train,link_g,0,229,-0.008340781672032756,1.019440198696191,-2.312518888400644,2.655127476931732
train,link_b,0,245,-0.010579089001778707,1.0140054972622146,-2.3521930122606163,1.599766896127082
train,sidebar_r,0,158,0.0026403702726174373,1.0069636113194722,-1.7708545525975643,1.0299457247945845
train,sidebar_g,0,180,-0.0052170368102772546,1.0038725261483736,-1.8239032114533236,0.8196100068989913
train,sidebar_b,0,160,-0.007504145520988898,1.0021732089969289,-1.8250306551560744,0.7236993601436158
train,desc_missing,0,2,0.15218502427804753,0.35922309425834875,0.0,1.0
train,desc_has_url,0,2,0.0638895987733197,0.24457179130215806,0.0,1.0
train,text_has_emoji,0,2,0.11627906976744186,0.32057975567071445,0.0,1.0
train,default_image,0,2,0.04715052389470994,0.2119742755755891,0.0,1.0
train,has_retweets,0,2,0.03347814975721952,0.1798930192429549,0.0,1.0
train,has_coord,0,2,0.00881676463071812,0.09348874852633265,0.0,1.0
train,location_missing,0,2,0.3306925632507028,0.4704925902533916,0.0,1.0
train,timezone_missing,0,2,0.35688729874776387,0.47911176797334315,0.0,1.0
train,link_default,0,2,0.4692052133912599,0.4990826673093346,0.0,1.0
train,sidebar_default,0,2,0.4206491183235369,0.49369482657451763,0.0,1.0
train,tz_Amsterdam,0,2,0.020189113212369027,0.14065575320241522,0.0,1.0
train,tz_Arizona,0,2,0.01725019166879632,0.13021055650569338,0.0,1.0
train,tz_Atlantic Time (Canada),0,2,0.03207257858420649,0.17620413037822596,0.0,1.0
train,tz_Casablanca,0,2,0.010350115001277792,0.10121412514595113,0.0,1.0
train,tz_Central Time (US & Canada),0,2,0.08957321748019423,0.28558760109168163,0.0,1.0
train,tz_Eastern Time (US & Canada),0,2,0.1378737541528239,0.3447894610201366,0.0,1.0
train,tz_London,0,2,0.06861742908254537,0.2528186005872541,0.0,1.0
train,tz_Mountain Time (US & Canada),0,2,0.0168668540761564,0.12878075345947745,0.0,1.0
train,tz_Other,0,2,0.11564017377970866,0.31981337264105525,0.0,1.0
train,tz_Pacific Time (US & Canada),0,2,0.1043956043956044,0.30579259424912353,0.0,1.0
train,tz_Quito,0,2,0.03028366981855354,0.17137771756287645,0.0,1.0
validation,fav_number_log,0,1564,0.04283830598476572,0.94975806985889,-1.6464010840174936,2.1804307120631474
validation,tweet_count_log,0,2463,-0.05729368258780198,0.9724142411460251,-3.9324980217589913,2.392929247979331
validation,tweets_per_day_log,0,2594,-0.12087490197262973,0.9734533967000435,-1.6576737764183862,3.2419545759741166
validation,favs_per_day_log,0,2278,-0.02445573173842004,0.9661432217631286,-0.825434762173427,4.835533021624813
validation,account_age_days,0,1604,0.08525514126589609,0.9934155296408116,-1.4808466488082188,2.544060337425872
validation,text_len,0,126,0.005858070419002845,1.010555314732103,-2.5834568448484823,1.3652164732874108
validation,desc_len,0,161,0.07547597219639077,0.9929048959321507,-1.2432601456107086,1.662845203182569
validation,text_n_urls,0,5,0.05072357152710262,1.0430371941499217,-0.6983092306309395,6.153002240295744
validation,text_n_mentions,0,8,0.007146786836848423,1.0053120670856428,-0.5803870290255431,11.050993081955813
validation,text_n_hashtags,0,9,0.025061855461825825,1.0469650386750158,-0.3790860752324159,8.525868329894944
validation,name_n_digits,0,9,-0.07281142271476217,0.897853195191691,-0.5033526126106925,6.787042906053374
validation,link_r,0,181,-0.029018616988662104,0.9733532543761102,-0.6781304768140782,2.228949164795571
validation,link_g,0,189,-0.003867054716515437,0.9992053384262937,-2.312518888400644,2.655127476931732
validation,link_b,0,193,0.011275716842070216,1.0013845566169626,-2.3521930122606163,1.599766896127082
validation,sidebar_r,0,85,0.014535227847915836,0.9973968061640793,-1.7708545525975643,1.0299457247945845
validation,sidebar_g,0,87,0.011013938037131986,0.9970420453658755,-1.8239032114533236,0.8196100068989913
validation,sidebar_b,0,82,0.008594145292864145,0.9956821862048798,-1.8250306551560744,0.7236993601436158
validation,desc_missing,0,2,0.1376923076923077,0.34464303308831246,0.0,1.0
validation,desc_has_url,0,2,0.08,0.2713453861484857,0.0,1.0
validation,text_has_emoji,0,2,0.11653846153846154,0.3209312429456987,0.0,1.0
validation,default_image,0,2,0.04423076923076923,0.2056469643049517,0.0,1.0
validation,has_retweets,0,2,0.036153846153846154,0.18670873925289241,0.0,1.0
validation,has_coord,0,2,0.006538461538461538,0.08061147170513593,0.0,1.0
validation,location_missing,0,2,0.33076923076923076,0.47058061831054526,0.0,1.0
validation,timezone_missing,0,2,0.3496153846153846,0.4769402024045834,0.0,1.0
validation,link_default,0,2,0.47846153846153844,0.4996319715784923,0.0,1.0
validation,sidebar_default,0,2,0.4380769230769231,0.4962461566847527,0.0,1.0
validation,tz_Amsterdam,0,2,0.024615384615384615,0.15497969357062263,0.0,1.0
validation,tz_Arizona,0,2,0.015769230769230768,0.12460551301597854,0.0,1.0
validation,tz_Atlantic Time (Canada),0,2,0.03192307692307692,0.1758291352642283,0.0,1.0
validation,tz_Casablanca,0,2,0.008461538461538461,0.09161423999746998,0.0,1.0
validation,tz_Central Time (US & Canada),0,2,0.08115384615384616,0.27312376389577214,0.0,1.0
validation,tz_Eastern Time (US & Canada),0,2,0.13346153846153846,0.3401382864748781,0.0,1.0
validation,tz_London,0,2,0.065,0.24657328321179448,0.0,1.0
validation,tz_Mountain Time (US & Canada),0,2,0.018076923076923077,0.1332553095967984,0.0,1.0
validation,tz_Other,0,2,0.13923076923076924,0.34625377155000847,0.0,1.0
validation,tz_Pacific Time (US & Canada),0,2,0.10423076923076922,0.30561845505248114,0.0,1.0
validation,tz_Quito,0,2,0.02846153846153846,0.16631932709794278,0.0,1.0
test,fav_number_log,0,1589,0.02733415307094238,0.9647841955901209,-1.6464010840174936,1.927856185928566
test,tweet_count_log,0,2482,-0.034502444580878144,1.0006627108269193,-3.9324980217589913,2.4001655371819064
test,tweets_per_day_log,0,2646,-0.0866063914371525,0.985207617594141,-1.6585646592815988,3.395983766498053
test,favs_per_day_log,0,2289,-0.008687231932638963,0.9881614409674097,-0.825434762173427,4.200641278993984
test,account_age_days,0,1641,0.07110663528443095,0.9853466110027232,-1.4808466488082188,2.550357125577052
test,text_len,0,129,0.05792013104864412,1.008565974584456,-2.5236284612403628,1.3652164732874108
test,desc_len,0,160,0.0549989422266645,0.9874550486871819,-1.2432601456107086,1.662845203182569
test,text_n_urls,0,4,0.04754769182504204,1.0098176195589967,-0.6983092306309395,4.440174372564073
test,text_n_mentions,0,9,-0.009835075268961766,0.9844577379627061,-0.5803870290255431,9.758617514068996
test,text_n_hashtags,0,9,0.026865224098051345,1.0069742099143908,-0.3790860752324159,9.638987630535864
test,name_n_digits,0,11,-0.10449736115334685,0.8886237775318299,-0.5033526126106925,6.787042906053374
test,link_r,0,201,0.01858864796113614,1.0070722594977197,-0.6781304768140782,2.228949164795571
test,link_g,0,192,-0.010450846905623137,1.040457724680612,-2.312518888400644,2.655127476931732
test,link_b,0,196,-0.020942924302412253,1.0237940476228036,-2.3521930122606163,1.599766896127082
test,sidebar_r,0,88,-0.006954120644222841,1.0142574929121744,-1.7708545525975643,1.0299457247945845
test,sidebar_g,0,86,-0.006719291220837767,1.0097954143211216,-1.8239032114533236,0.8196100068989913
test,sidebar_b,0,88,-0.017617367693394437,1.0129177470177073,-1.8250306551560744,0.7236993601436158
test,desc_missing,0,2,0.13549115543846443,0.3423118514313061,0.0,1.0
test,desc_has_url,0,2,0.07263831388784343,0.25959073835196783,0.0,1.0
test,text_has_emoji,0,2,0.11328566051938277,0.31700132559753913,0.0,1.0
test,default_image,0,2,0.045540082800150546,0.20852469623212005,0.0,1.0
test,has_retweets,0,2,0.036883703424915315,0.18851172531558932,0.0,1.0
test,has_coord,0,2,0.007527286413248024,0.08644905498809097,0.0,1.0
test,location_missing,0,2,0.3248024087316522,0.4683891266565648,0.0,1.0
test,timezone_missing,0,2,0.3534060971019947,0.4781174156108536,0.0,1.0
test,link_default,0,2,0.46443357169740307,0.49882730419924426,0.0,1.0
test,sidebar_default,0,2,0.42039894617990214,0.4937159234531313,0.0,1.0
test,tz_Amsterdam,0,2,0.017312758750470454,0.13045854760084857,0.0,1.0
test,tz_Arizona,0,2,0.015430937147158449,0.12328237309292894,0.0,1.0
test,tz_Atlantic Time (Canada),0,2,0.031990967256304105,0.1760091041328713,0.0,1.0
test,tz_Casablanca,0,2,0.007903650733910425,0.0885671230854712,0.0,1.0
test,tz_Central Time (US & Canada),0,2,0.07339104252916824,0.260826382142491,0.0,1.0
test,tz_Eastern Time (US & Canada),0,2,0.14000752728641325,0.34706015754529773,0.0,1.0
test,tz_London,0,2,0.08731652239367708,0.2823514688461678,0.0,1.0
test,tz_Mountain Time (US & Canada),0,2,0.016936394429808054,0.12905743539416495,0.0,1.0
test,tz_Other,0,2,0.12118931125329319,0.32640857971230486,0.0,1.0
test,tz_Pacific Time (US & Canada),0,2,0.10952201731275875,0.3123518281022547,0.0,1.0
test,tz_Quito,0,2,0.02559277380504328,0.15794674089645103,0.0,1.0
