_unit_id,says,score,recorded,gender,name,gender:confidence
815725796,non_human,0.995,human,female,27349stwd,0.3357
815731688,human,0.994,non_human,brand,MBieber_Smith,0.6627
815736962,human,0.989,non_human,brand,goatsworthy,0.3571
815728023,human,0.989,non_human,brand,lowkeylwt_,0.3595
815725734,human,0.988,non_human,brand,os4185,0.6372
815733156,non_human,0.988,human,female,lisalisa2123,0.6732
815729075,non_human,0.987,human,male,04768lktc,0.3494
815734068,human,0.985,non_human,brand,Sunglare,0.6723
815726719,human,0.985,non_human,brand,Shutter_Lense,0.3459
815734124,human,0.984,non_human,brand,RobProvince,0.352
815728354,non_human,0.984,human,female,07199jcsc,0.3444
815737036,human,0.983,non_human,brand,DefiantBA,1.0
815738632,human,0.983,non_human,brand,irishgoespop,0.6688
815729653,human,0.982,non_human,brand,ljgrover22,1.0
815722730,human,0.982,non_human,brand,naegisnaegi,0.6618
815729409,human,0.981,non_human,brand,monetpearson,1.0
815735245,non_human,0.981,human,male,khalidrafiq141,0.683
815727109,human,0.979,non_human,brand,loookapanda,0.6705
815737303,human,0.979,non_human,brand,TheOnlyAhmed,0.6751
815729137,human,0.979,non_human,brand,VerseUniverse,0.6688
815729321,human,0.979,non_human,brand,nobrightside,0.6566
815734999,human,0.978,non_human,brand,Nuevomedio,1.0
815723329,human,0.978,non_human,brand,SketchMasterMJH,0.6659
815732415,human,0.977,non_human,brand,viria13,0.6543
815721726,human,0.977,non_human,brand,labelsforlunch,0.6694
815719581,human,0.976,non_human,brand,IgniteMeRiRi,0.6634
815724853,non_human,0.975,human,female,01808gnlb,0.3374
815738205,human,0.975,non_human,brand,healfranta,0.6685
815732178,human,0.975,non_human,brand,dariancordova,0.6615
815724741,human,0.974,non_human,brand,daejones,0.6736
815735364,human,0.974,non_human,brand,Einherion,0.6703
815736461,human,0.973,non_human,brand,whoaskedyoushit,0.648
815726781,human,0.972,non_human,brand,SekgobolaT,1.0
815731889,human,0.972,non_human,brand,311guy,0.6619
815720278,human,0.971,non_human,brand,GermanWizard11,0.6789
815726256,human,0.971,non_human,brand,ltmcdies,1.0
815725986,human,0.971,non_human,brand,LibromusicaIES,0.6607
815727542,human,0.97,non_human,brand,gene14800846,1.0
815728110,human,0.97,non_human,brand,JoBlack668,0.6578
815733013,human,0.97,non_human,brand,kaneki_txt,0.669
