model_a,model_b,t,p,significant
logistic,decision_tree,-1.666192965730952,0.13423648705399577,False
logistic,naive_bayes,8.583968259163134,2.6207436271188536e-05,True
logistic,knn,-5.059343899371373,0.0009778445527386151,True
logistic,mlp,-6.748818955839706,0.0001452294967662554,True
decision_tree,naive_bayes,8.773550248544382,2.234072776170722e-05,True
decision_tree,knn,-2.2990529018930683,0.05054550518013681,False
decision_tree,mlp,-3.064765087562812,0.015470302668386194,True
naive_bayes,knn,-11.829975430231794,2.389980233789182e-06,True
naive_bayes,mlp,-13.124560298067466,1.0802812142087744e-06,True
knn,mlp,-0.7060270580929607,0.500211826403926,False
