_unit_id,name,gender,gender:confidence,cluster,fine_cluster,cluster_says,cluster_human_rate,distance_to_centre,also_by_rules
815729075,04768lktc,male,0.3494,2,4,non_human,0.044,0.33,1
815728354,07199jcsc,female,0.3444,2,4,non_human,0.044,0.35,1
815725796,27349stwd,female,0.3357,2,4,non_human,0.044,0.38,1
815724853,01808gnlb,female,0.3374,2,4,non_human,0.044,1.07,1
815733156,lisalisa2123,female,0.6732,2,4,non_human,0.044,1.79,1
815719575,HaileyW22810137,female,1.0,2,4,non_human,0.044,2.52,1
815738516,gabriel13737457,male,0.6674,2,4,non_human,0.044,2.55,0
815722749,ThomasH29137281,female,1.0,2,4,non_human,0.044,2.64,0
815726373,AdamCoo64216897,female,0.3335,2,4,non_human,0.044,2.64,0
815720517,PamelaW76653339,female,1.0,2,4,non_human,0.044,2.71,0
815738514,claire3222,female,1.0,2,4,non_human,0.044,2.71,0
815720552,35JOAN_Ansley02,female,1.0,2,4,non_human,0.044,2.98,0
815730627,brennan_1299R5,female,1.0,2,4,non_human,0.044,3.01,0
815733514,CatT15978042,female,1.0,2,4,non_human,0.044,3.01,1
815726196,KaylaAr09739181,female,1.0,2,4,non_human,0.044,3.07,0
815723030,thomasjones9000,male,1.0,2,4,non_human,0.044,3.16,1
815739361,johanna4892,female,1.0,2,4,non_human,0.044,3.29,0
815739196,Kie_0213,female,1.0,2,4,non_human,0.044,3.31,0
815722567,166HAZEL51,female,1.0,2,4,non_human,0.044,3.45,0
815731620,Thyme1944648,female,1.0,2,4,non_human,0.044,3.45,0
815734400,3WHITNEY468,female,1.0,2,4,non_human,0.044,3.49,0
815725152,will70204,male,0.6658,2,4,non_human,0.044,3.52,0
815725073,Charlot02798732,female,1.0,2,4,non_human,0.044,3.54,0
815736849,firstlady10000,female,1.0,2,4,non_human,0.044,3.58,0
815721568,45674x,female,1.0,2,4,non_human,0.044,3.77,0
815726832,Simoj1958James,male,1.0,2,4,non_human,0.044,3.85,0
815726076,Kat134569,female,1.0,2,4,non_human,0.044,3.95,0
815733715,Millie186025,female,1.0,2,4,non_human,0.044,4.1,0
815737072,jking962002,male,1.0,2,4,non_human,0.044,4.19,0
815725732,karenfl79070153,female,1.0,2,4,non_human,0.044,4.35,0
815721346,Chloe051581,male,1.0,3,4,non_human,0.044,4.53,0
815728448,Marco41237622,male,0.6665,2,4,non_human,0.044,4.58,0
815727017,4f8e24939bf9431,female,1.0,2,4,non_human,0.044,4.67,0
815725462,Sameer32160106,male,1.0,2,4,non_human,0.044,4.72,0
815728361,Derrick79588764,male,1.0,2,4,non_human,0.044,4.83,0
815736686,Marieno33472165,female,1.0,2,4,non_human,0.044,4.89,0
815736819,lindamo12895437,female,0.6659,2,4,non_human,0.044,4.95,1
815732551,LauraQu22469337,female,1.0,2,4,non_human,0.044,4.96,0
815721372,debbie18051978,female,0.6694,0,4,non_human,0.044,5.15,0
815721410,Mohamed80570137,male,1.0,2,4,non_human,0.044,5.34,0
815723154,BharatP95362736,female,0.6736,3,4,non_human,0.044,5.45,0
815727709,josh111222333_,male,1.0,2,4,non_human,0.044,5.53,0
815725078,AudreyS23511436,male,1.0,2,4,non_human,0.044,5.71,0
815719309,angie48534918,female,1.0,0,4,non_human,0.044,5.74,0
815731184,c82b5001896b4ae,male,1.0,2,4,non_human,0.044,5.83,0
815734396,4ad228e64de5481,male,1.0,2,4,non_human,0.044,6.52,0
815736883,2675a24c0441400,male,1.0,2,4,non_human,0.044,7.23,0
815728427,475a97b4b7714c5,female,1.0,2,4,non_human,0.044,7.37,0
815736722,sadwitches,brand,0.6456,3,7,human,0.917,1.36,0
815726719,Shutter_Lense,brand,0.3459,3,7,human,0.917,1.41,1
815723028,inthebarberry,brand,0.6526,0,7,human,0.917,1.44,1
815734286,Fatimahamoudi5,brand,0.6555,0,7,human,0.917,1.5,0
815730706,Full_Time_Scrub,brand,1.0,3,7,human,0.917,1.51,0
815724599,d_michaelsatele,brand,0.6333,0,7,human,0.917,1.52,1
815730622,insideccfc,brand,1.0,0,7,human,0.917,1.57,0
815731753,InRainesville,brand,0.6887,0,7,human,0.917,1.58,1
815732838,obsessed_boyban,brand,0.6745,3,7,human,0.917,1.6,1
815735329,xIamDeath,brand,0.665,0,7,human,0.917,1.64,0
815734913,squid_girl_,brand,0.6525,0,7,human,0.917,1.67,0
815722134,ArticBleu,brand,0.6743,3,7,human,0.917,1.73,0
815729409,monetpearson,brand,1.0,3,7,human,0.917,1.74,1
815735871,Doctorwhat2,brand,0.6743,3,7,human,0.917,1.77,1
815730174,Bengals_NEFL,brand,1.0,0,7,human,0.917,1.84,0
815732483,CliathAthaBaile,brand,0.6509,0,7,human,0.917,1.85,1
815724414,mike_brach,brand,0.6823,3,7,human,0.917,1.87,1
815739350,noonmohsharfi,brand,0.6585,0,7,human,0.917,1.87,1
815724237,wiml2,brand,1.0,3,7,human,0.917,1.89,0
815732901,SLightmaree,brand,0.6614,3,7,human,0.917,1.89,1
815731407,coyotekissesxo,brand,0.6556,0,7,human,0.917,1.9,0
815726253,Lucius_C_Sulla,brand,0.6636,0,7,human,0.917,1.91,0
815719906,TwistandSports,brand,1.0,0,7,human,0.917,1.94,1
815726135,smashb1,brand,0.6899,3,7,human,0.917,1.94,0
815724834,meekjr_,brand,0.6542,3,7,human,0.917,1.95,1
815731845,sugarspankhorn,brand,0.65,3,7,human,0.917,1.97,1
815737346,BlakeNextGen15,brand,1.0,0,7,human,0.917,1.97,0
815738070,StrikeFM,brand,1.0,3,7,human,0.917,1.97,1
815729024,MegaLobsterFace,brand,0.6487,3,7,human,0.917,1.98,0
815736374,AkraticBehavior,brand,0.6818,0,7,human,0.917,1.98,1
815727535,ottawaclique,brand,0.3396,0,7,human,0.917,2.0,0
815738488,senzeal,brand,1.0,0,7,human,0.917,2.0,0
815732647,icanttt,brand,0.6835,0,7,human,0.917,2.01,1
815724051,bonfiresband,brand,0.6648,3,7,human,0.917,2.02,1
815723611,vitalninjaYT,brand,0.6734,0,7,human,0.917,2.04,1
815720725,partmentalsoul,brand,0.6741,0,7,human,0.917,2.05,0
815737513,coyotes_ebooks,brand,0.6839,3,7,human,0.917,2.05,0
815720822,WorcsFaithful,brand,0.6621,0,7,human,0.917,2.07,0
815722300,RC_Allaince,brand,1.0,0,7,human,0.917,2.07,0
815727324,MrmappyINOF,brand,0.6574,0,7,human,0.917,2.07,1
815736013,southstandnige9,brand,1.0,0,7,human,0.917,2.08,0
815730710,MaddieandTaeFly,brand,0.6921,0,7,human,0.917,2.09,1
815730130,worldrafanadal,brand,1.0,0,7,human,0.917,2.1,1
815733055,GYSTclub,brand,1.0,0,7,human,0.917,2.11,0
815732567,Thor_of_Asgard1,brand,1.0,0,7,human,0.917,2.12,1
815719699,inimba,brand,0.6404,3,7,human,0.917,2.13,1
815724819,Barokoru,brand,0.6879,3,7,human,0.917,2.14,1
815733468,StockExpert3,brand,1.0,0,7,human,0.917,2.14,1
815738456,Based1UP,brand,0.6516,0,7,human,0.917,2.14,1
815737490,themapdallas,brand,0.6688,0,7,human,0.917,2.15,0
815728081,The_Kohinoor,brand,0.6569,0,7,human,0.917,2.16,1
815735607,Porcelanosa_EN,brand,1.0,3,7,human,0.917,2.16,1
815731737,KLASManagement,brand,1.0,0,7,human,0.917,2.17,0
815733921,CottageOckman,brand,1.0,0,7,human,0.917,2.22,0
815730116,skywlka22,brand,0.6603,3,7,human,0.917,2.23,0
815732136,Dormality,brand,1.0,0,7,human,0.917,2.23,1
815733582,SportsNewsBTS,brand,1.0,0,7,human,0.917,2.23,0
815734827,triggzyy,brand,0.3408,3,7,human,0.917,2.23,1
815720768,COGICgopChica,brand,0.6774,3,7,human,0.917,2.24,1
815724798,BognorRegisHour,brand,1.0,3,7,human,0.917,2.24,1
815729261,theformalcat,brand,0.654,0,7,human,0.917,2.27,0
815721991,HadTwpSports,brand,1.0,0,7,human,0.917,2.28,0
815735005,EthanVei,brand,0.6683,0,7,human,0.917,2.28,0
815733966,mywaitisu,brand,0.3449,3,7,human,0.917,2.29,1
815734767,6ONE9CLOTHING,brand,1.0,0,7,human,0.917,2.29,1
