_unit_id,name,cluster,fine_cluster,cluster_human_rate,suggested
815719318,ashcfc17,0,7,0.917,human
815719423,YaldaaOmar,3,8,0.957,human
815719427,valharryo,3,8,0.957,human
815719559,_skybee,3,8,0.957,human
815719753,dangzb,3,8,0.957,human
815719898,Odd_Hack,3,8,0.957,human
815719910,Eribott,3,8,0.957,human
815720075,mendesislife2,3,7,0.917,human
815720233,forceohwakens,3,8,0.957,human
815720275,iBearHD,3,7,0.917,human
815720295,dablecis,3,8,0.957,human
815720302,marco99724962,2,4,0.044,non_human
815720598,pootcha2108,0,7,0.917,human
815720624,o0SLAVIK0o1,0,7,0.917,human
815720682,anovicekong,0,7,0.917,human
815720733,louskir,0,8,0.957,human
815720923,_Youngnigga13,2,7,0.917,human
815721031,Hanan_05,3,8,0.957,human
815721245,MadMistB,3,7,0.917,human
815721308,elbertos,0,8,0.957,human
815721320,followback642,2,4,0.044,non_human
815721332,Perpetual_Khaos,0,7,0.917,human
815721656,Ace_999666,2,4,0.044,non_human
815721685,sandyphysics,3,7,0.917,human
815721708,ricky_raw,3,8,0.957,human
815721885,Dstaoirs,3,7,0.917,human
815721943,TeddyMisog,3,7,0.917,human
815722144,khari_lemuel,0,8,0.957,human
815722284,tinyjems,3,8,0.957,human
815722412,kiraactus,3,7,0.917,human
815722663,Cobi_Jon,3,8,0.957,human
815723161,PeeZ_NutZ,3,8,0.957,human
815723162,gleecatsversion,0,7,0.917,human
815723211,dekisa23,0,7,0.917,human
815723277,luke_berlioux,0,7,0.917,human
815723478,sugardadpxyne,0,7,0.917,human
815723526,angahith,0,7,0.917,human
815723565,babyrosehs,3,8,0.957,human
815723668,Twillz6,3,7,0.917,human
815723766,01905gnlb,2,4,0.044,non_human
815723863,dmfa21114,2,4,0.044,non_human
815723958,Dzasta_1,0,7,0.917,human
815724040,mygrls7,0,7,0.917,human
815724079,jasp32052,2,4,0.044,non_human
815724188,83708slhd,2,4,0.044,non_human
815724270,82937slhb,2,4,0.044,non_human
815724309,27258stwd,2,4,0.044,non_human
815724333,08003jcsc,2,4,0.044,non_human
815724356,06510jcsb,2,4,0.044,non_human
815724360,26155stwa,2,4,0.044,non_human
815724388,JamesSm33040861,2,4,0.044,non_human
815724433,04775lktc,2,4,0.044,non_human
815724434,26141stwa,2,4,0.044,non_human
815724444,27208stwd,2,4,0.044,non_human
815724450,01902gnlb,2,4,0.044,non_human
815724458,82936slhb,2,4,0.044,non_human
815724467,04865lktb,2,4,0.044,non_human
815724551,06258jcsa,2,4,0.044,non_human
815724596,06080jcsa,2,4,0.044,non_human
815724619,06712jcsb,2,4,0.044,non_human
815724678,__wrxsub__,0,7,0.917,human
815724682,05403lktb,2,4,0.044,non_human
815724728,82939slhb,2,4,0.044,non_human
815724740,Rxbun,3,8,0.957,human
815724811,sous_hassoun,0,7,0.917,human
815724827,26003stwa,2,4,0.044,non_human
815724862,06107jcsa,2,4,0.044,non_human
815724882,26178stwa,2,4,0.044,non_human
815724890,04091trda,2,4,0.044,non_human
815724904,06912jcsb,2,4,0.044,non_human
815724946,04489lktc,2,4,0.044,non_human
815724959,02917trdc,2,4,0.044,non_human
815724997,05839lkta,2,4,0.044,non_human
815724999,83322slhb,2,4,0.044,non_human
815725004,06518jcsb,2,4,0.044,non_human
815725009,06716jcsb,2,4,0.044,non_human
815725017,06888jcsb,2,4,0.044,non_human
815725054,82930slhb,2,4,0.044,non_human
815725057,zandrac274,2,4,0.044,non_human
815725064,82229slha,2,4,0.044,non_human
815725072,07932jcsc,2,4,0.044,non_human
815725074,08070gnlb,2,4,0.044,non_human
815725113,27331stwd,2,4,0.044,non_human
815725115,02667gnlc,2,4,0.044,non_human
815725138,03904trdb,2,4,0.044,non_human
815725188,Hakunamavodka_,3,8,0.957,human
815725195,83262slhb,2,4,0.044,non_human
815725208,06091jcsa,2,4,0.044,non_human
815725219,SnejaTheKing,0,7,0.917,human
815725252,27239stwd,2,4,0.044,non_human
815725284,louirrie,3,8,0.957,human
815725336,04062trda,2,4,0.044,non_human
815725355,dmfa26205,2,4,0.044,non_human
815725372,01852gnlb,2,4,0.044,non_human
815725375,jamiet_afc,0,7,0.917,human
815725404,07976jcsc,2,4,0.044,non_human
815725409,savage_twelvie,3,8,0.957,human
815725415,05470lkta,2,4,0.044,non_human
815725440,03230trdc,2,4,0.044,non_human
815725469,02630gnlc,2,4,0.044,non_human
815725487,26534stwb,2,4,0.044,non_human
815725493,Awennn,3,8,0.957,human
815725522,natangram,0,7,0.917,human
815725530,03302trdb,2,4,0.044,non_human
815725531,25958stwa,2,4,0.044,non_human
815725538,02472gnlc,2,4,0.044,non_human
815725561,stwa29218,2,4,0.044,non_human
815725566,06235jcsa,2,4,0.044,non_human
815725582,01036gnla,2,4,0.044,non_human
815725597,6tripe,3,7,0.917,human
815725611,06607jcsb,2,4,0.044,non_human
815725687,82901slha,2,4,0.044,non_human
815725812,ruggi281,2,4,0.044,non_human
815725846,27306stwd,2,4,0.044,non_human
815725849,27325stwd,2,4,0.044,non_human
815725863,83233slhb,2,4,0.044,non_human
815725875,04932lktb,2,4,0.044,non_human
815725894,83601slhb,2,4,0.044,non_human
