_unit_id,says,score,recorded,name,gender,gender:confidence,cluster,fine_cluster,cluster_human_rate,distance_to_centre,also_by_rules
815729075,non_human,0.956,human,04768lktc,male,0.3494,2,4,0.044,0.33,1
815728354,non_human,0.956,human,07199jcsc,female,0.3444,2,4,0.044,0.35,1
815725796,non_human,0.956,human,27349stwd,female,0.3357,2,4,0.044,0.38,1
815724853,non_human,0.956,human,01808gnlb,female,0.3374,2,4,0.044,1.07,1
815733156,non_human,0.956,human,lisalisa2123,female,0.6732,2,4,0.044,1.79,1
815719575,non_human,0.956,human,HaileyW22810137,female,1.0,2,4,0.044,2.52,0
815738516,non_human,0.956,human,gabriel13737457,male,0.6674,2,4,0.044,2.55,0
815722749,non_human,0.956,human,ThomasH29137281,female,1.0,2,4,0.044,2.64,0
815726373,non_human,0.956,human,AdamCoo64216897,female,0.3335,2,4,0.044,2.64,0
815720517,non_human,0.956,human,PamelaW76653339,female,1.0,2,4,0.044,2.71,0
815738514,non_human,0.956,human,claire3222,female,1.0,2,4,0.044,2.71,0
815720552,non_human,0.956,human,35JOAN_Ansley02,female,1.0,2,4,0.044,2.98,0
815730627,non_human,0.956,human,brennan_1299R5,female,1.0,2,4,0.044,3.01,0
815733514,non_human,0.956,human,CatT15978042,female,1.0,2,4,0.044,3.01,0
815726196,non_human,0.956,human,KaylaAr09739181,female,1.0,2,4,0.044,3.07,0
815723030,non_human,0.956,human,thomasjones9000,male,1.0,2,4,0.044,3.16,0
815739361,non_human,0.956,human,johanna4892,female,1.0,2,4,0.044,3.29,0
815739196,non_human,0.956,human,Kie_0213,female,1.0,2,4,0.044,3.31,0
815722567,non_human,0.956,human,166HAZEL51,female,1.0,2,4,0.044,3.45,0
815731620,non_human,0.956,human,Thyme1944648,female,1.0,2,4,0.044,3.45,0
815734400,non_human,0.956,human,3WHITNEY468,female,1.0,2,4,0.044,3.49,0
815725152,non_human,0.956,human,will70204,male,0.6658,2,4,0.044,3.52,0
815725073,non_human,0.956,human,Charlot02798732,female,1.0,2,4,0.044,3.54,0
815736849,non_human,0.956,human,firstlady10000,female,1.0,2,4,0.044,3.58,0
815721568,non_human,0.956,human,45674x,female,1.0,2,4,0.044,3.77,0
815726832,non_human,0.956,human,Simoj1958James,male,1.0,2,4,0.044,3.85,0
815726076,non_human,0.956,human,Kat134569,female,1.0,2,4,0.044,3.95,0
815733715,non_human,0.956,human,Millie186025,female,1.0,2,4,0.044,4.1,0
815737072,non_human,0.956,human,jking962002,male,1.0,2,4,0.044,4.19,0
815725732,non_human,0.956,human,karenfl79070153,female,1.0,2,4,0.044,4.35,0
815721346,non_human,0.956,human,Chloe051581,male,1.0,3,4,0.044,4.53,0
815728448,non_human,0.956,human,Marco41237622,male,0.6665,2,4,0.044,4.58,0
815727017,non_human,0.956,human,4f8e24939bf9431,female,1.0,2,4,0.044,4.67,0
815725462,non_human,0.956,human,Sameer32160106,male,1.0,2,4,0.044,4.72,0
815728361,non_human,0.956,human,Derrick79588764,male,1.0,2,4,0.044,4.83,0
815736686,non_human,0.956,human,Marieno33472165,female,1.0,2,4,0.044,4.89,0
815736819,non_human,0.956,human,lindamo12895437,female,0.6659,2,4,0.044,4.95,0
815732551,non_human,0.956,human,LauraQu22469337,female,1.0,2,4,0.044,4.96,0
815721372,non_human,0.956,human,debbie18051978,female,0.6694,0,4,0.044,5.15,0
815721410,non_human,0.956,human,Mohamed80570137,male,1.0,2,4,0.044,5.34,0
815723154,non_human,0.956,human,BharatP95362736,female,0.6736,3,4,0.044,5.45,0
815727709,non_human,0.956,human,josh111222333_,male,1.0,2,4,0.044,5.53,0
815725078,non_human,0.956,human,AudreyS23511436,male,1.0,2,4,0.044,5.71,0
815719309,non_human,0.956,human,angie48534918,female,1.0,0,4,0.044,5.74,0
815731184,non_human,0.956,human,c82b5001896b4ae,male,1.0,2,4,0.044,5.83,0
815734396,non_human,0.956,human,4ad228e64de5481,male,1.0,2,4,0.044,6.52,0
815736883,non_human,0.956,human,2675a24c0441400,male,1.0,2,4,0.044,7.23,0
815728427,non_human,0.956,human,475a97b4b7714c5,female,1.0,2,4,0.044,7.37,0
815736722,human,0.917,non_human,sadwitches,brand,0.6456,3,7,0.917,1.36,0
