_unit_id,name,gender,recorded,says,votes,opposing_votes,available_methods,review_tier,methods,gender:confidence,label_conflict,association_says,classification_says,clustering_says,regression_says,text_says,association_score,classification_score,clustering_score,regression_score,text_score
815733174,daddy_unchained,brand,non_human,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.3303,0,human,human,human,human,human,0.862,0.938,0.957,0.967,0.895
815725796,27349stwd,female,human,non_human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.3357,0,non_human,non_human,non_human,non_human,non_human,0.846,0.995,0.956,0.931,0.993
815732012,kenziesachen,brand,non_human,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.3361,0,human,human,human,human,human,0.898,0.966,0.957,0.918,0.868
815724853,01808gnlb,female,human,non_human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.3374,0,non_human,non_human,non_human,non_human,non_human,0.846,0.975,0.956,0.926,0.998
815724251,kamyb22,brand,non_human,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.3401,0,human,human,human,human,human,0.898,0.933,0.917,0.919,0.901
815728354,07199jcsc,female,human,non_human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.3444,0,non_human,non_human,non_human,non_human,non_human,0.846,0.984,0.956,0.932,0.993
815729075,04768lktc,male,human,non_human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.3494,0,non_human,non_human,non_human,non_human,non_human,0.846,0.987,0.956,0.924,0.993
815739580,BabiesGunsJesus,brand,non_human,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.6354,0,human,human,human,human,human,0.869,0.969,0.957,0.95,0.945
815727388,mojo_YOjo,brand,non_human,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.6368,0,human,human,human,human,human,0.862,0.944,0.957,0.921,0.898
815731845,sugarspankhorn,brand,non_human,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.65,0,human,human,human,human,human,0.864,0.923,0.917,0.926,0.941
815732415,viria13,brand,non_human,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.6543,0,human,human,human,human,human,0.898,0.977,0.957,0.971,0.887
815737867,bones_six7,brand,non_human,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.6598,0,human,human,human,human,human,0.925,0.968,0.957,0.934,0.871
815723056,byediva,brand,non_human,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.6602,0,human,human,human,human,human,0.898,0.969,0.957,0.946,0.899
815737303,TheOnlyAhmed,brand,non_human,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.6751,0,human,human,human,human,human,0.925,0.979,0.957,0.98,0.897
815728020,sungohst,brand,non_human,human,4,0,5,3+ methods,"association, classification, regression, text",0.3354,0,human,human,,human,human,0.862,0.905,,0.92,0.958
815737698,Hessahalkhawari,brand,non_human,human,4,0,5,3+ methods,"association, classification, regression, text",0.3389,0,human,human,,human,human,0.925,0.956,,0.963,0.876
815734827,triggzyy,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, text",0.3408,0,human,human,human,,human,0.861,0.903,0.917,,0.878
815739540,KuKu_EmmaW_fan,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, regression",0.3418,0,human,human,human,human,,0.925,0.952,0.957,0.943,
815737004,Milena_mico,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, regression",0.3423,0,human,human,human,human,,0.861,0.926,0.957,0.918,
815736601,Lunatik_guy,brand,non_human,human,4,0,5,3+ methods,"association, classification, regression, text",0.3425,0,human,human,,human,human,0.862,0.933,,0.917,0.912
815733966,mywaitisu,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, regression",0.3449,0,human,human,human,human,,0.88,0.96,0.917,0.945,
815730820,destiny_weaver,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, regression",0.3456,0,human,human,human,human,,0.925,0.964,0.917,0.98,
815726719,Shutter_Lense,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, regression",0.3459,0,human,human,human,human,,0.869,0.985,0.917,0.942,
815729588,luciboo80,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, regression",0.347,0,human,human,human,human,,0.898,0.954,0.957,0.933,
815729633,Kuwaballer,brand,non_human,human,4,0,5,3+ methods,"association, classification, regression, text",0.3537,0,human,human,,human,human,0.864,0.912,,0.916,0.931
815736962,goatsworthy,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, regression",0.3571,0,human,human,human,human,,0.862,0.989,0.917,0.961,
815722517,ghostofjohanna,brand,non_human,human,4,0,5,3+ methods,"association, classification, regression, text",0.3574,0,human,human,,human,human,0.925,0.913,,0.916,0.918
815728023,lowkeylwt_,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, regression",0.3595,0,human,human,human,human,,0.925,0.989,0.957,0.973,
815738130,2faceh,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, regression",0.6296,0,human,human,human,human,,0.898,0.935,0.957,0.908,
815727133,Tawa8_12,brand,non_human,human,4,0,5,3+ methods,"association, classification, regression, text",0.6341,0,human,human,,human,human,0.862,0.936,,0.949,0.867
815719699,inimba,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, regression",0.6404,0,human,human,human,human,,0.898,0.969,0.917,0.965,
815737554,przemusiowa,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, regression",0.6461,0,human,human,human,human,,0.873,0.967,0.957,0.921,
815736461,whoaskedyoushit,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, regression",0.648,0,human,human,human,human,,0.898,0.973,0.957,0.931,
815722160,sigmacoder,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, regression",0.6497,0,human,human,human,human,,0.861,0.965,0.957,0.94,
815734350,pumpkin_horse,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, regression",0.6502,0,human,human,human,human,,0.898,0.942,0.957,0.944,
815738412,iAxX23,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, regression",0.6504,0,human,human,human,human,,0.862,0.945,0.957,0.953,
815730167,twinkhedgehog,brand,non_human,human,4,0,5,3+ methods,"association, classification, regression, text",0.6506,0,human,human,,human,human,0.862,0.913,,0.907,0.942
815720588,tomlinsgomez,brand,non_human,human,4,0,5,3+ methods,"association, classification, regression, text",0.6508,0,human,human,,human,human,0.898,0.929,,0.959,0.908
815723028,inthebarberry,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, regression",0.6526,0,human,human,human,human,,0.873,0.955,0.917,0.926,
815728924,lawyerinbeta,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, regression",0.6534,0,human,human,human,human,,0.862,0.956,0.957,0.927,
815734342,dadadaily,brand,non_human,human,4,0,5,3+ methods,"association, classification, clustering, regression",0.6534,0,human,human,human,human,,0.873,0.961,0.957,0.924,
815723324,LukeIsASequin,brand,non_human,human,4,0,5,3+ methods,"association, classification, regression, text",0.6543,1,human,human,,human,human,0.925,0.94,,0.967,0.881
815731407,coyotekissesxo,brand,non_human,human,4,0,5,3+ methods,"classification, clustering, regression, text",0.6556,0,,human,human,human,human,,0.96,0.917,0.925,0.876
