_unit_id,says,score,method
815721686,non_human,0.801,association
815721686,human,0.722,classification
815721686,non_human,0.747,regression
815721686,human,0.658,text
815723486,non_human,0.801,association
815723486,human,0.736,classification
815723486,non_human,0.742,regression
815723486,human,0.82,text
815724182,non_human,0.801,association
815724182,human,0.675,classification
815724182,non_human,0.746,regression
815724182,human,0.543,text
815724429,non_human,0.801,association
815724429,human,0.792,classification
815724429,non_human,0.773,regression
815724429,human,0.649,text
815724543,human,0.922,association
815724543,non_human,0.894,classification
815724543,non_human,0.874,regression
815724543,human,0.832,text
815725093,human,0.861,association
815725093,non_human,0.642,classification
815725093,human,0.504,regression
815725093,non_human,0.537,text
815725136,human,0.873,association
815725136,non_human,0.693,classification
815725136,non_human,0.866,regression
815725136,human,0.643,text
815726834,non_human,0.816,association
815726834,human,0.526,classification
815726834,non_human,0.956,regression
815726834,human,0.904,text
815727336,non_human,0.816,association
815727336,human,0.764,classification
815727336,non_human,0.633,regression
815727336,human,0.739,text
815727406,human,0.861,association
815727406,non_human,0.623,classification
815727406,non_human,0.963,regression
815727406,human,0.685,text
815730128,human,0.857,association
815730128,non_human,0.866,classification
815730128,non_human,0.979,regression
815730128,human,0.683,text
815733631,non_human,0.801,association
815733631,human,0.676,classification
815733631,non_human,0.793,regression
815733631,human,0.877,text
815734620,non_human,0.801,association
815734620,human,0.732,classification
815734620,non_human,0.716,regression
815734620,human,0.741,text
815735070,non_human,0.801,association
815735070,human,0.893,classification
815735070,non_human,0.516,regression
815735070,human,0.79,text
815735792,human,0.861,association
815735792,non_human,0.781,classification
815735792,non_human,0.785,regression
815735792,human,0.514,text
815735930,non_human,0.839,association
815735930,human,0.525,classification
815735930,non_human,0.797,regression
815735930,human,0.631,text
815736298,human,0.861,association
815736298,non_human,0.65,classification
815736298,non_human,0.556,regression
815736298,human,0.641,text
815737035,non_human,0.816,association
815737035,human,0.587,classification
815737035,non_human,0.842,regression
815737035,human,0.849,text
815737689,non_human,0.816,association
815737689,human,0.558,classification
815737689,non_human,0.816,regression
815737689,human,0.796,text
815738097,non_human,0.816,association
815738097,human,0.577,classification
815738097,non_human,0.854,regression
815738097,human,0.877,text
815739548,human,0.854,association
815739548,non_human,0.736,classification
815739548,non_human,0.722,regression
815739548,human,0.711,text
