_unit_id,name,gender,recorded,says,votes,opposing_votes,available_methods,review_tier,methods,gender:confidence,label_conflict,association_says,classification_says,clustering_says,regression_says,text_says,association_score,classification_score,clustering_score,regression_score,text_score
815719423,YaldaaOmar,unknown,,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.3408,0,human,human,human,human,human,0.861,0.894,0.957,0.838,0.665
815719427,valharryo,unknown,,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.6556,0,human,human,human,human,human,0.898,0.968,0.957,0.948,0.569
815719559,_skybee,unknown,,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.6642,0,human,human,human,human,human,0.862,0.985,0.957,0.97,0.898
815719753,dangzb,unknown,,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.6659,0,human,human,human,human,human,0.869,0.975,0.957,0.98,0.694
815720075,mendesislife2,unknown,,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.6777,0,human,human,human,human,human,0.925,0.908,0.917,0.925,0.787
815720295,dablecis,unknown,,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.3395,0,human,human,human,human,human,0.873,0.982,0.957,0.89,0.858
815720598,pootcha2108,unknown,,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.3499,0,human,human,human,human,human,0.925,0.989,0.917,0.987,0.591
815720624,o0SLAVIK0o1,unknown,,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.3442,0,human,human,human,human,human,0.925,0.997,0.917,0.989,0.618
815720923,_Youngnigga13,unknown,,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.674,0,human,human,human,human,human,0.925,0.976,0.917,0.963,0.923
815721031,Hanan_05,unknown,,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.6531,0,human,human,human,human,human,0.925,0.989,0.957,0.972,0.95
815721245,MadMistB,unknown,,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.3512,0,human,human,human,human,human,0.88,0.815,0.917,0.753,0.981
815721308,elbertos,unknown,,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.6752,0,human,human,human,human,human,0.869,0.988,0.957,0.961,0.705
815721685,sandyphysics,unknown,,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.6811,0,human,human,human,human,human,0.873,0.929,0.917,0.903,0.677
815721708,ricky_raw,unknown,,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",1.0,0,human,human,human,human,human,0.869,0.971,0.957,0.964,0.826
815721943,TeddyMisog,unknown,,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.3372,0,human,human,human,human,human,0.88,0.889,0.917,0.855,0.677
815722144,khari_lemuel,unknown,,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.6651,0,human,human,human,human,human,0.873,0.962,0.957,0.907,0.876
815722284,tinyjems,unknown,,human,5,0,5,3+ methods,"association, classification, clustering, regression, text",0.6884,0,human,human,human,human,human,0.873,0.905,0.957,0.894,0.768
