name,gender,is_human,label_conflict,predicted_prob_human,predicted,misclassified,confidence_gap
durtgeek,male,1.0,0,0.005249546704377419,0.0,1,0.9947504532956226
Sunglare,brand,0.0,0,0.9879861092816692,1.0,1,0.9879861092816692
O8qKkYKnWa7YP3O,female,1.0,0,0.017408185751473033,0.0,1,0.982591814248527
dcgblog,female,1.0,0,0.017927634320501904,0.0,1,0.9820723656794981
TheOnlyAhmed,brand,0.0,0,0.9802598287372392,1.0,1,0.9802598287372392
ChayseFox,brand,0.0,0,0.9770186634918314,1.0,1,0.9770186634918314
naegisnaegi,brand,0.0,0,0.9714259238507673,1.0,1,0.9714259238507673
litlgib,male,1.0,0,0.03180786300050814,0.0,1,0.9681921369994919
JoArdell,male,1.0,0,0.03950135383326943,0.0,1,0.9604986461667306
Hessahalkhawari,brand,0.0,0,0.9599483481350949,1.0,1,0.9599483481350949
goatsworthy,brand,0.0,0,0.9596281945290839,1.0,1,0.9596281945290839
JohnJohndel2,male,1.0,0,0.04304321392592083,0.0,1,0.9569567860740792
WiffleBall1,brand,0.0,0,0.9559326575734305,1.0,1,0.9559326575734305
HenryBeans,brand,0.0,0,0.9544585082667933,1.0,1,0.9544585082667933
IgniteMeRiRi,brand,0.0,0,0.9506239319005242,1.0,1,0.9506239319005242
GermanWizard11,brand,0.0,1,0.950067495703585,1.0,1,0.950067495703585
Einherion,brand,0.0,0,0.9491374197047461,1.0,1,0.9491374197047461
illusionOFitALL,brand,0.0,0,0.9489951809897429,1.0,1,0.9489951809897429
SkatersChoiceCO,brand,0.0,0,0.9469276179886924,1.0,1,0.9469276179886924
SXYVS,female,1.0,1,0.05335320441092359,0.0,1,0.9466467955890764
Adlez27,brand,0.0,0,0.9450443762417138,1.0,1,0.9450443762417138
noonmohsharfi,brand,0.0,0,0.9439665996827021,1.0,1,0.9439665996827021
Taz_Cat1,brand,0.0,0,0.9415385477544116,1.0,1,0.9415385477544116
rasputinmethod,brand,0.0,0,0.9371985502305072,1.0,1,0.9371985502305072
kaneki_txt,brand,0.0,0,0.9366182579594989,1.0,1,0.9366182579594989
HUDAFUNK,brand,0.0,0,0.9347151935259719,1.0,1,0.9347151935259719
pramoldhawan,brand,0.0,0,0.9335430664812447,1.0,1,0.9335430664812447
aceIucy,brand,0.0,0,0.932689615159325,1.0,1,0.932689615159325
JoySeele,brand,0.0,0,0.9325341831672385,1.0,1,0.9325341831672385
mywaitisu,brand,0.0,0,0.9320573207740961,1.0,1,0.9320573207740961
vitalninjaYT,brand,0.0,0,0.9314324436559536,1.0,1,0.9314324436559536
GMcCorrister,brand,0.0,0,0.9294933199811912,1.0,1,0.9294933199811912
Narrator_Claire,brand,0.0,0,0.9259902277765782,1.0,1,0.9259902277765782
armadillomon,brand,0.0,0,0.9235171240030924,1.0,1,0.9235171240030924
MejoresLook,brand,0.0,0,0.9232124702455952,1.0,1,0.9232124702455952
jvngwheein,brand,0.0,0,0.9220682238227522,1.0,1,0.9220682238227522
bearaboi,brand,0.0,1,0.9213809432277097,1.0,1,0.9213809432277097
lonhro,brand,0.0,0,0.921107977879043,1.0,1,0.921107977879043
przemusiowa,brand,0.0,0,0.9200638611463847,1.0,1,0.9200638611463847
SharmarkeAhmed4,brand,0.0,0,0.9200523946218295,1.0,1,0.9200523946218295
MightyMoose3,brand,0.0,0,0.9192388457782055,1.0,1,0.9192388457782055
SHERWlND,brand,0.0,0,0.9175869309141151,1.0,1,0.9175869309141151
biIIielurk,brand,0.0,0,0.9154960367317483,1.0,1,0.9154960367317483
BormanUk2015,male,1.0,0,0.084512105396229,0.0,1,0.915487894603771
CCS_Skate,brand,0.0,0,0.9141126983685501,1.0,1,0.9141126983685501
CNTRCTK77R,brand,0.0,0,0.9120938850738252,1.0,1,0.9120938850738252
Foothill_Dance,brand,0.0,0,0.9114433972466806,1.0,1,0.9114433972466806
Unite24Lq,female,1.0,0,0.09217584032340985,0.0,1,0.9078241596765901
GbenroBasit,brand,0.0,0,0.9076621191196403,1.0,1,0.9076621191196403
BanJen15,brand,0.0,0,0.9071564054586936,1.0,1,0.9071564054586936
