name,gender,gender:confidence,label_conflict,predicted,residual
futuresight,female,0.3381,0,0.9450432272858845,-0.6069432272858846
johnortegon,male,0.3268,0,0.932748587658115,-0.605948587658115
sunnysehunn,female,0.3424,0,0.9426054671625816,-0.6002054671625816
alexgasratchet,brand,0.3374,0,0.9374700926864169,-0.6000700926864169
_Lantern_,brand,0.344,0,0.9410881012964883,-0.5970881012964884
pramoldhawan,brand,0.3388,0,0.9344776406834466,-0.5956776406834466
Lingeriedunet,female,0.3283,0,0.9239465894520691,-0.595646589452069
ottawaclique,brand,0.3396,0,0.9345699243237389,-0.5949699243237389
Temple_State,male,0.3421,0,0.9357498006304339,-0.5936498006304338
vrizov,female,0.3371,0,0.9303312139812074,-0.5932312139812075
honesttruth08,male,0.3415,0,0.9331434159549751,-0.591643415954975
NotAdric,male,0.3407,0,0.9304701492598709,-0.5897701492598709
BrighamChiefs,female,0.3429,0,0.931469222758937,-0.588569222758937
sagacious_eq,female,0.3482,0,0.9367454357496577,-0.5885454357496578
RoyallyTips,brand,0.3412,0,0.929050219151286,-0.587850219151286
Quemerford,male,0.344,0,0.9308236330751456,-0.5868236330751456
rougeit,male,0.3615,0,0.9482871488233553,-0.5867871488233554
BobFridImages,brand,0.3507,0,0.9373500453985913,-0.5866500453985913
tattookidlouis,male,0.3368,0,0.9199549242369701,-0.5831549242369701
rabah_wael,male,0.3388,0,0.9206342889222414,-0.5818342889222414
itsharrybitch_,male,0.3506,0,0.9322850621174149,-0.5816850621174149
loseyourself235,brand,0.3397,0,0.9203040795563163,-0.5806040795563163
abbeyythompson,female,0.3533,0,0.9331880344404994,-0.5798880344404993
the_winkster,male,0.3529,0,0.9319959503566551,-0.5790959503566551
ItsJiggaMan_Ced,female,0.3503,0,0.929284133561089,-0.578984133561089
MarqelleH,male,0.355,0,0.932634869552788,-0.577634869552788
yattermang,female,0.3634,0,0.9403711414440372,-0.5769711414440373
JimJamJamieJoo,female,0.3444,0,0.9196938100350224,-0.5752938100350224
hiltonholloway,male,0.3419,0,0.9162330352141556,-0.5743330352141556
shad_rahman_,brand,0.3559,0,0.9290569910743386,-0.5731569910743386
mom2yahoos,brand,0.3571,0,0.9271494355249346,-0.5700494355249346
SamyaSarfaraz,brand,0.341,0,0.9102513363450365,-0.5692513363450364
xEastendersx,brand,0.3617,0,0.9307894301589201,-0.5690894301589201
_NevaSatisfied_,male,0.3691,0,0.9362859965448791,-0.5671859965448791
jpjdawg777,female,0.3407,0,0.9065383656984053,-0.5658383656984053
BearingMoon,male,0.3403,0,0.9061381191734306,-0.5658381191734305
Magan1977,male,0.3419,0,0.9074384405546675,-0.5655384405546675
Hskrvsn,male,0.3414,0,0.9030729573947932,-0.5616729573947932
DoHoBOB,brand,0.3472,0,0.908675151061049,-0.561475151061049
biIIielurk,brand,0.3566,0,0.9170547111545333,-0.5604547111545333
malee_belizan,male,0.3327,0,0.8931195950567835,-0.5604195950567835
ariez_jamz,brand,0.3582,0,0.9171695797390548,-0.5589695797390548
dwferre,male,0.3577,0,0.9134030804707736,-0.5557030804707735
spker_75,male,0.3445,0,0.899939320024771,-0.5554393200247709
TBuyse,brand,0.3375,0,0.8909371758662445,-0.5534371758662445
hornyandhigh1,female,0.3384,0,0.8911625383222872,-0.5527625383222872
hickey_obama,brand,0.3374,0,0.88930978519737,-0.55190978519737
12_granger,brand,0.3409,0,0.8908597345015865,-0.5499597345015865
JacobsonConors,male,0.3471,0,0.8970262474834254,-0.5499262474834254
mamisoawesome,brand,0.3507,0,0.8997063288955951,-0.5490063288955951
