_unit_id,says,score,recorded,gender,name,gender:confidence
815719775,non_human,0.998,human,male,Free_Martinis,0.6472
815724853,non_human,0.998,human,female,01808gnlb,0.3374
815725796,non_human,0.993,human,female,27349stwd,0.3357
815728354,non_human,0.993,human,female,07199jcsc,0.3444
815729075,non_human,0.993,human,male,04768lktc,0.3494
815722579,human,0.99,non_human,brand,tonguesintrees,0.3503
815729683,human,0.986,non_human,brand,frankenwentz,0.6524
815733066,human,0.985,non_human,brand,Iovesays,1.0
815732222,non_human,0.983,human,male,iPeytonManning,1.0
815721102,non_human,0.982,human,female,itsDeedles,0.6444
815725210,non_human,0.979,human,female,ProducersWEB,0.6739
815722929,human,0.978,non_human,brand,fosteravepro,0.6642
815734217,human,0.976,non_human,brand,DivergentSan,0.6743
815733117,human,0.974,non_human,brand,McTermii,1.0
815739539,non_human,0.974,human,female,NaijaDiary,1.0
815724443,non_human,0.972,human,male,mlmnewsusa,1.0
815730153,non_human,0.972,human,female,Touch_Soul_Poem,0.661
815735828,non_human,0.972,human,female,YvetteIDK,1.0
815731229,human,0.969,non_human,brand,Dizzie_Dog,0.6601
815731645,human,0.967,non_human,brand,alexgasratchet,0.3374
815737970,human,0.966,non_human,brand,chaacSmite,0.6212
815729379,human,0.966,non_human,brand,_LifeInSong_,1.0
815735801,non_human,0.965,human,male,NigeriaBlogger,1.0
815719431,human,0.965,non_human,brand,English_Cocker,0.6523
815734877,human,0.964,non_human,brand,Mistehhhh,0.3488
815735477,non_human,0.964,human,male,saidosereno,0.3449
815720833,human,0.963,non_human,brand,adhipolice881,0.6983
815724331,human,0.963,non_human,brand,Zachs_A_Million,0.6619
815737969,human,0.962,non_human,brand,YoungPharaohEnt,1.0
815735687,human,0.961,non_human,brand,CyborgScreams,0.6768
815729597,human,0.96,non_human,brand,CrimsonLCC,0.658
815737079,non_human,0.96,human,female,Rejuvinateshop,1.0
815733258,non_human,0.96,human,female,HornyLocals,1.0
815735137,non_human,0.959,human,male,thmsm74,1.0
815728020,human,0.958,non_human,brand,sungohst,0.3354
815720816,human,0.957,non_human,brand,ZeroMkay_,0.3472
815737271,human,0.957,non_human,brand,breakingadriel,0.3417
815734299,non_human,0.956,human,female,pyne_satarupa,0.6644
815739043,human,0.955,non_human,brand,AsahSkye,0.6667
815722134,human,0.955,non_human,brand,ArticBleu,0.6743
815722399,human,0.954,non_human,brand,ItsHumanity,0.6699
815721704,non_human,0.953,human,male,Unilag2Funaab,1.0
815732453,human,0.951,non_human,brand,Coffee__Agent,1.0
815728461,human,0.95,non_human,brand,wickedshrapnel,1.0
815735785,non_human,0.949,human,male,SachaIDK,1.0
815723335,human,0.949,non_human,brand,tasteofassam,0.6638
815726937,non_human,0.949,human,male,vaporware,1.0
815721246,human,0.949,non_human,brand,jadespr1te,0.6655
815731049,human,0.947,non_human,brand,hunhoot1,0.6538
815727794,non_human,0.947,human,male,IPOSniffer,1.0
815732920,human,0.946,non_human,brand,StripedGypsum,0.6742
815720041,human,0.946,non_human,brand,dazM33,0.6678
815731437,non_human,0.946,human,male,home_business58,1.0
815725447,human,0.946,non_human,brand,Zinxii_FFA,0.3497
815723066,human,0.945,non_human,brand,FFGC_SMatthews,0.6497
815739580,human,0.945,non_human,brand,BabiesGunsJesus,0.6354
815733175,human,0.945,non_human,brand,Beardlini,0.6386
815736247,human,0.944,non_human,brand,DevanPalmer,0.6626
815719581,human,0.944,non_human,brand,IgniteMeRiRi,0.6634
815730167,human,0.942,non_human,brand,twinkhedgehog,0.6506
815731938,human,0.942,non_human,brand,Gerrisol,0.6601
815731845,human,0.941,non_human,brand,sugarspankhorn,0.65
815723287,human,0.94,non_human,brand,LunaAmatheia,0.6583
815723610,human,0.939,non_human,brand,turntsad,0.3471
815738604,human,0.939,non_human,brand,crayoness,0.6577
815730116,human,0.938,non_human,brand,skywlka22,0.6603
815723798,human,0.938,non_human,brand,ebooks_chevaux,1.0
815722152,human,0.937,non_human,brand,Phislash,0.6782
815730825,human,0.937,non_human,brand,iWant_Gaga,0.6923
815726237,non_human,0.937,human,male,ECNashville,0.6566
815737817,human,0.937,non_human,brand,hemmoschode,0.653
815731763,non_human,0.937,human,female,LinWalsh15,0.6425
815720525,human,0.936,non_human,brand,reisakuma,0.6769
815720114,human,0.936,non_human,brand,DCDouchbag,1.0
815719634,non_human,0.935,human,male,GemaVanbelle,0.6856
815734381,non_human,0.935,human,female,MidlerFreak,0.6848
815729012,human,0.935,non_human,brand,AnahienMurcia,0.348
815735389,human,0.935,non_human,brand,Thatdamn_Scrapp,0.3383
815733374,human,0.934,non_human,brand,littleredspook,0.6502
815738467,human,0.934,non_human,brand,aafx0_,1.0
815736945,human,0.931,non_human,brand,ThePaintedElf,0.6717
815727837,non_human,0.931,human,female,itstimetobloom,1.0
815729064,human,0.931,non_human,brand,AnonymousKenya1,1.0
815729633,human,0.931,non_human,brand,Kuwaballer,0.3537
815720014,human,0.931,non_human,brand,DJ_UnDisTone,0.6571
815732170,non_human,0.931,human,male,dookyyy,1.0
815723594,human,0.929,non_human,brand,ranveersbabe,0.3404
815731749,human,0.929,non_human,brand,NathanVarner,0.6336
815737879,human,0.929,non_human,brand,TomMSFT,0.6504
815738205,human,0.929,non_human,brand,healfranta,0.6685
815727306,human,0.928,non_human,brand,NnennaYvonneC,1.0
815736474,human,0.928,non_human,brand,ThreeGymnopedie,0.3447
815739202,human,0.927,non_human,brand,KidrauhllNey,0.6674
815727073,human,0.927,non_human,brand,louehisart,0.65
815730109,human,0.927,non_human,brand,wahaha1222,0.6706
815719414,non_human,0.927,human,male,SteidlSteinberg,0.6771
815723841,non_human,0.927,human,female,GabrielleForex,0.6751
815733737,non_human,0.926,human,male,ejpmonline,1.0
815734965,human,0.926,non_human,brand,KaraAbheri1,0.6525
815731772,human,0.925,non_human,brand,MusikDaLYCD,1.0
815730142,human,0.925,non_human,brand,jfeckstein,0.6591
815731931,non_human,0.924,human,male,PROforma_Micomm,1.0
815722705,non_human,0.924,human,male,mike_merlino,0.6767
815733347,human,0.924,non_human,brand,TheOtherPlus1,1.0
815722707,non_human,0.924,human,male,robdempsey,1.0
815737289,human,0.924,non_human,brand,animeneesan,0.6726
815727051,non_human,0.923,human,female,ToriKellyFrance,1.0
815737343,non_human,0.923,human,female,Bethanine28,1.0
815729780,human,0.922,non_human,brand,itsterrio_hoe,0.6704
815724207,human,0.922,non_human,brand,LVPhotos,0.6436
815723769,human,0.921,non_human,brand,PTAlanSwann,0.6556
815731949,non_human,0.921,human,female,MilwaukeeTalk,0.6666
815733160,human,0.921,non_human,brand,faviator,0.688
815735529,human,0.92,non_human,brand,Wale_Hero,0.6586
815727114,human,0.92,non_human,brand,Mythical_Skrub,0.6415
815737152,non_human,0.918,human,female,naaradanusha,1.0
815722517,human,0.918,non_human,brand,ghostofjohanna,0.3574
815735044,non_human,0.918,human,female,SelenaHQ,0.6514
815721726,human,0.918,non_human,brand,labelsforlunch,0.6694
815735225,human,0.917,non_human,brand,hologramvron,0.6475
815727900,non_human,0.917,human,male,WEAREMANDOWN,1.0
815735791,non_human,0.917,human,female,ShannaIDK,1.0
815723325,non_human,0.917,human,female,IAmYourConnect,0.6544
815727312,non_human,0.917,human,male,MarkForrestShow,1.0
815727389,human,0.916,non_human,brand,xtinasvenue,0.3442
815726976,human,0.915,non_human,brand,BCmoney805,0.6561
815731923,non_human,0.915,human,male,saaconsulting,1.0
815733196,human,0.915,non_human,brand,JuanisaGundam,0.6725
815736449,human,0.914,non_human,brand,bjmdaughter,1.0
