name,gender,is_human,label_conflict,text_style_score,mismatch
itsDeedles,female,1.0,0,-3,3
TimothyTower,male,1.0,0,-3,3
GMcCorrister,brand,0.0,0,3,3
RosellMartin88,brand,0.0,0,2,2
BadCornstick,male,1.0,0,-2,2
AyyLabbYuuu,brand,0.0,0,2,2
LQGroup5,brand,0.0,0,2,2
khcsportsman85,male,1.0,0,-2,2
SamSketchbook,female,1.0,0,-2,2
ZeusCarver,brand,0.0,0,2,2
Zachs_A_Million,brand,0.0,0,2,2
sammi_hendry,female,1.0,0,-2,2
Free_Martinis,male,1.0,0,-2,2
FAIRx818x,male,1.0,0,-2,2
ILoveMusic_USA,brand,0.0,0,2,2
MaddenFreeCoinz,brand,0.0,0,2,2
TheShieldsOne,male,1.0,0,-2,2
LesothoJohn,male,1.0,0,-2,2
RunningChics,brand,0.0,0,2,2
IPOSniffer,male,1.0,0,-2,2
foodforsoul316,brand,0.0,0,2,2
GregBailey13,male,1.0,0,-2,2
CB0BMARLEY,female,1.0,0,-2,2
IllBlogRadio,brand,0.0,0,2,2
vicgoddard,male,1.0,0,-2,2
__dUkEz,male,1.0,0,-2,2
DEEJAYMOB,brand,0.0,0,2,2
ChatchTV,brand,0.0,0,2,2
KumarSaggi,male,1.0,0,-2,2
fighter_grey,female,1.0,0,-2,2
JuanChoiceMedia,brand,0.0,0,2,2
kittycgirl,female,1.0,0,-2,2
SearchQuotes,brand,0.0,0,2,2
themissesmae,female,1.0,0,-2,2
Adlez27,brand,0.0,0,2,2
nicholemcburney,female,1.0,0,-1,1
greekoutdoors,brand,0.0,0,1,1
DonaldMick,male,1.0,0,-1,1
johnmknox,male,1.0,0,-1,1
Indy_Events,male,1.0,0,-1,1
RealRoyalBoy,male,1.0,0,-1,1
fact275,brand,0.0,0,1,1
ZoeyMarieCyrus,female,1.0,0,-1,1
QueensofDeen,brand,0.0,0,1,1
alienlock,male,1.0,0,-1,1
Cnverg,brand,0.0,0,1,1
WGVUPublicMedia,brand,0.0,0,1,1
Romariolorenzo1,male,1.0,0,-1,1
corinawonder,brand,0.0,0,1,1
jorgearangure,male,1.0,0,-1,1
